category,scientific_name,conservation_status,common_names,park_name,observations
Mammal,Clethrionomys gapperi gapperi,Least Concern,Gapper's Red-Backed Vole,Bryce,130
Mammal,Clethrionomys gapperi gapperi,Least Concern,Gapper's Red-Backed Vole,Yellowstone,270
Mammal,Clethrionomys gapperi gapperi,Least Concern,Gapper's Red-Backed Vole,Great Smoky Mountains,98
Mammal,Clethrionomys gapperi gapperi,Least Concern,Gapper's Red-Backed Vole,Yosemite,117
Vascular Plant,Apocynum cannabinum var. cannabinum,Least Concern,Indian Hemp,Bryce,115
Vascular Plant,Apocynum cannabinum var. cannabinum,Least Concern,Indian Hemp,Yellowstone,262
Vascular Plant,Apocynum cannabinum var. cannabinum,Least Concern,Indian Hemp,Yosemite,138
Vascular Plant,Apocynum cannabinum var. cannabinum,Least Concern,Indian Hemp,Great Smoky Mountains,68
Vascular Plant,Betula occidentalis,Least Concern,Water Birch,Bryce,112
Vascular Plant,Betula occidentalis,Least Concern,Water Birch,Yellowstone,263
Vascular Plant,Betula occidentalis,Least Concern,Water Birch,Yosemite,165
Vascular Plant,Betula occidentalis,Least Concern,Water Birch,Great Smoky Mountains,85
Vascular Plant,Betula glandulosa,Least Concern,Resin Birch,Yellowstone,238
Vascular Plant,Betula glandulosa,Least Concern,Resin Birch,Yosemite,183
Vascular Plant,Betula glandulosa,Least Concern,Resin Birch,Great Smoky Mountains,66
Vascular Plant,Betula glandulosa,Least Concern,Resin Birch,Bryce,93
Vascular Plant,Polygala alba,Least Concern,White Milkwort,Yosemite,154
Vascular Plant,Polygala alba,Least Concern,White Milkwort,Great Smoky Mountains,55
Vascular Plant,Polygala alba,Least Concern,White Milkwort,Bryce,93
Vascular Plant,Polygala alba,Least Concern,White Milkwort,Yellowstone,242
Vascular Plant,Vicia cracca,Least Concern,"Cow Vetch, Tufted Vetch, Bird Vetch",Yellowstone,267
Vascular Plant,Vicia cracca,Least Concern,"Cow Vetch, Tufted Vetch, Bird Vetch",Great Smoky Mountains,65
Vascular Plant,Vicia cracca,Least Concern,"Cow Vetch, Tufted Vetch, Bird Vetch",Bryce,94
Vascular Plant,Vicia cracca,Least Concern,"Cow Vetch, Tufted Vetch, Bird Vetch",Yosemite,130
Vascular Plant,Vicia americana var. minor,Least Concern,Mat Vetch,Yellowstone,242
Vascular Plant,Vicia americana var. minor,Least Concern,Mat Vetch,Yosemite,131
Vascular Plant,Vicia americana var. minor,Least Concern,Mat Vetch,Great Smoky Mountains,61
Vascular Plant,Vicia americana var. minor,Least Concern,Mat Vetch,Bryce,92
Vascular Plant,Asclepias speciosa,Least Concern,Showy Milkweed,Bryce,93
Vascular Plant,Asclepias speciosa,Least Concern,Showy Milkweed,Great Smoky Mountains,62
Vascular Plant,Asclepias speciosa,Least Concern,Showy Milkweed,Yellowstone,278
Vascular Plant,Asclepias speciosa,Least Concern,Showy Milkweed,Yosemite,140
Vascular Plant,Thermopsis montana,Least Concern,Mountain Goldenbanner,Yellowstone,261
Vascular Plant,Thermopsis montana,Least Concern,Mountain Goldenbanner,Bryce,74
Vascular Plant,Thermopsis montana,Least Concern,Mountain Goldenbanner,Yosemite,152
Vascular Plant,Thermopsis montana,Least Concern,Mountain Goldenbanner,Great Smoky Mountains,68
Vascular Plant,Oxytropis sericea var. speciosa,Least Concern,White Locoweed,Great Smoky Mountains,95
Vascular Plant,Oxytropis sericea var. speciosa,Least Concern,White Locoweed,Yellowstone,275
Vascular Plant,Oxytropis sericea var. speciosa,Least Concern,White Locoweed,Bryce,126
Vascular Plant,Oxytropis sericea var. speciosa,Least Concern,White Locoweed,Yosemite,132
Vascular Plant,Oxytropis parryi,Least Concern,"Parry's Crazyweed, Parry's Oxytrope, Parry Pointvetch",Great Smoky Mountains,66
Vascular Plant,Oxytropis parryi,Least Concern,"Parry's Crazyweed, Parry's Oxytrope, Parry Pointvetch",Bryce,102
Vascular Plant,Oxytropis parryi,Least Concern,"Parry's Crazyweed, Parry's Oxytrope, Parry Pointvetch",Yosemite,132
Vascular Plant,Oxytropis parryi,Least Concern,"Parry's Crazyweed, Parry's Oxytrope, Parry Pointvetch",Yellowstone,221
Vascular Plant,Oxytropis lagopus var. lagopus,Least Concern,Haresfoot Locoweed,Yellowstone,214
Vascular Plant,Oxytropis lagopus var. lagopus,Least Concern,Haresfoot Locoweed,Bryce,117
Vascular Plant,Oxytropis lagopus var. lagopus,Least Concern,Haresfoot Locoweed,Yosemite,182
Vascular Plant,Oxytropis lagopus var. lagopus,Least Concern,Haresfoot Locoweed,Great Smoky Mountains,105
Vascular Plant,Oxytropis deflexa var. sericea,Least Concern,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed",Yosemite,169
Vascular Plant,Oxytropis deflexa var. sericea,Least Concern,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed",Bryce,82
Vascular Plant,Oxytropis deflexa var. sericea,Least Concern,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed",Great Smoky Mountains,47
Vascular Plant,Oxytropis deflexa var. sericea,Least Concern,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed",Yellowstone,260
Vascular Plant,Trifolium haydenii,Least Concern,Hayden's Clover,Great Smoky Mountains,108
Vascular Plant,Trifolium haydenii,Least Concern,Hayden's Clover,Yosemite,165
Vascular Plant,Trifolium haydenii,Least Concern,Hayden's Clover,Bryce,100
Vascular Plant,Trifolium haydenii,Least Concern,Hayden's Clover,Yellowstone,244
Vascular Plant,Oxytropis deflexa var. foliolosa,Least Concern,"Pendantpod Locoweed, Pendant-Pod Crazyweed, Nodding Locoweed",Great Smoky Mountains,83
Vascular Plant,Oxytropis deflexa var. foliolosa,Least Concern,"Pendantpod Locoweed, Pendant-Pod Crazyweed, Nodding Locoweed",Yellowstone,237
Vascular Plant,Oxytropis deflexa var. foliolosa,Least Concern,"Pendantpod Locoweed, Pendant-Pod Crazyweed, Nodding Locoweed",Yosemite,152
Vascular Plant,Oxytropis deflexa var. foliolosa,Least Concern,"Pendantpod Locoweed, Pendant-Pod Crazyweed, Nodding Locoweed",Bryce,133
Vascular Plant,Frasera speciosa,Least Concern,"Green Gentian, Monument-Plant, Monument Plant, Elkweed, Deer Ears, Showy Frasera",Great Smoky Mountains,53
