category,scientific_name,conservation_status,common_names
Mammal,Clethrionomys gapperi gapperi,Least Concern,Gapper's Red-Backed Vole
Vascular Plant,Apocynum cannabinum var. cannabinum,Least Concern,Indian Hemp
Vascular Plant,Betula occidentalis,Least Concern,Water Birch
Vascular Plant,Betula glandulosa,Least Concern,Resin Birch
Vascular Plant,Polygala alba,Least Concern,White Milkwort
Vascular Plant,Vicia cracca,Least Concern,"Cow Vetch, Tufted Vetch, Bird Vetch"
Vascular Plant,Vicia americana var. minor,Least Concern,Mat Vetch
Vascular Plant,Asclepias speciosa,Least Concern,Showy Milkweed
Vascular Plant,Thermopsis montana,Least Concern,Mountain Goldenbanner
Vascular Plant,Oxytropis sericea var. speciosa,Least Concern,White Locoweed
Vascular Plant,Oxytropis parryi,Least Concern,"Parry's Crazyweed, Parry's Oxytrope, Parry Pointvetch"
Vascular Plant,Oxytropis lagopus var. lagopus,Least Concern,Haresfoot Locoweed
Vascular Plant,Oxytropis deflexa var. sericea,Least Concern,"Pendant-Pod Locoweed, Blue Nodding Locoweed, Longstem Hangpod Crazyweed"
Vascular Plant,Trifolium haydenii,Least Concern,Hayden's Clover
Vascular Plant,Oxytropis deflexa var. foliolosa,Least Concern,"Pendantpod Locoweed, Pendant-Pod Crazyweed, Nodding Locoweed"
Vascular Plant,Frasera speciosa,Least Concern,"Green Gentian, Monument-Plant, Monument Plant, Elkweed, Deer Ears, Showy Frasera"
Vascular Plant,Gentianopsis simplex,Least Concern,"Oneflower Fringed Gentian, Oneflower Gentian"
Vascular Plant,Dracocephalum parviflorum,Least Concern,American Dragonhead
Vascular Plant,Agastache urticifolia,Least Concern,"Horsemint Giant Hyssop, Nettleleaf Giant Hyssop"
Vascular Plant,Isoetes occidentalis,Least Concern,Western Quillwort
Vascular Plant,Isoetes echinospora,Least Concern,"IsoTe _ Spores _Pineuses, Spiny-Spore Quillwort"
Vascular Plant,Isoetes bolanderi,Least Concern,Bolander's Quillwort
Vascular Plant,Geranium viscosissimum var. viscosissimum,Least Concern,Sticky Purple Geranium
Vascular Plant,Geranium viscosissimum var. nervosum,Least Concern,Sticky Purple Geranium
Vascular Plant,Geranium richardsonii,Least Concern,Richardson's Geranium
Vascular Plant,Gentianella tenella,Least Concern,"Dane's Dwarf Gentian, Lapland Gentian, Dane's Dwarfgentian"
Vascular Plant,Geranium bicknellii,Least Concern,"Bicknell's Cranesbill, Northern Crane's-Bill"
Vascular Plant,Kelloggia galioides,Least Concern,"Milky Kelloggia, Milk Kelloggia"
Vascular Plant,Galium verum,Least Concern,Yellow Spring Bedstraw
Vascular Plant,Galium trifidum,Least Concern,"Small Bedstraw, Three-Petal Bedstraw, Threepetal Bedstraw"
Vascular Plant,Galium mollugo,Least Concern,False Baby's Breath
Vascular Plant,Galium boreale,Least Concern,Northern Bedstraw
Vascular Plant,Galium bifolium,Least Concern,"Twin-Leaf Bedstraw, Twinleaf Bedstraw"
Vascular Plant,Swertia perennis,Least Concern,"Star Gentian, Alpinebog Swertia, Felwort"
Vascular Plant,Oxytropis campestris var. cusickii,Least Concern,Cusick's Locoweed
